ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,scraped_at,tk_data,source_url
CA135087Q491,CANADA 23/28,Canada,"Canada, Government of...","20,000,000,000",CAD,100.00,4/21/2023,3.250%,1000,,regular interest,,9/1/2028,3/1/2026,,"2,0",9/1/2023,8/31/2028,No,2026-02-07T19:29:25.657755,"1,126528699,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202328-bond-2028-ca135087q491?miRedirects=1
CA135087Q988,CANADA 23/29,Canada,"Canada, Government of...","27,000,000,000",CAD,99.42,10/13/2023,4.000%,1000,,regular interest,,3/1/2029,3/1/2026,,"2,0",3/1/2024,2/28/2029,No,2026-02-07T19:29:28.241414,"1,130328741,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202329-Bond-2029-ca135087q988
CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,"2,0",6/1/1998,5/31/2029,No,2026-02-07T19:29:30.725943,"1,847359,1330,184",https://markets.businessinsider.com/bonds/5_750-canada-government-of-Bond-2029-ca135087wl43
CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,"2,0",12/1/2018,5/31/2029,No,2026-02-07T19:29:33.136038,"1,42965744,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_201829-Bond-2029-ca135087j397
CA135087R895,CANADA 24/29,Canada,"Canada, Government of...","30,000,000,000",CAD,99.45,4/8/2024,3.500%,1000,,regular interest,,9/1/2029,3/1/2026,,"2,0",9/1/2024,8/31/2029,No,2026-02-07T19:29:35.584823,"1,134387959,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202429-Bond-2029-ca135087r895
CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,"2,0",6/1/2022,11/30/2029,No,2026-02-07T19:29:38.025609,"1,117855494,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202229-Bond-2029-ca135087n670
CA135087S471,CANADA 24/30,Canada,"Canada, Government of...","33,000,000,000",CAD,99.63,10/3/2024,2.750%,1000,,regular interest,,3/1/2030,3/1/2026,,"2,0",3/1/2025,2/28/2030,No,2026-02-07T19:29:40.512181,"1,138913105,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202430-Bond-2030-ca135087s471
CA135087T388,CANADA 25/30,Canada,"Canada, Government of...","42,000,000,000",CAD,99.52,4/10/2025,2.750%,1000,,regular interest,,9/1/2030,3/1/2026,,"2,0",9/1/2025,8/31/2030,No,2026-02-07T19:29:42.945238,"1,144389623,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202530-Bond-2030-ca135087t388
CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,"2,0",12/1/2020,11/30/2030,No,2026-02-07T19:29:45.366240,"1,57501684,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-Bond-2030-ca135087l443
CA135087T792,CANADA 25/31,Canada,"Canada, Government of...","26,250,000,000",CAD,99.78,10/2/2025,2.750%,1000,,regular interest,,3/1/2031,3/1/2026,,"2,0",3/1/2026,2/28/2031,No,2026-02-07T19:29:47.750414,"1,149759344,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202531-Bond-2031-ca135087t792
CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,"2,0",6/1/2021,5/31/2031,No,2026-02-07T19:29:50.155929,"1,111293704,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202131-Bond-2031-ca135087m276
CA135087N266,CANADA 21/31,Canada,"Canada, Government of...","32,000,000,000",CAD,97.91,10/25/2021,1.500%,1000,,regular interest,,12/1/2031,6/1/2026,,"2,0",12/1/2021,11/30/2031,No,2026-02-07T19:29:52.563281,"1,114466942,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202131-Bond-2031-ca135087n266
CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,"2,0",3/1/2025,2/28/2032,No,2026-02-07T19:29:55.255277,"1,142567197,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202532-Bond-2032-ca135087s968
CA135087N597,CANADA 22/32,Canada,"Canada, Government of...","24,000,000,000",CAD,98.29,3/16/2022,2.000%,1000,,regular interest,,6/1/2032,6/1/2026,,"2,0",6/1/2022,5/31/2032,No,2026-02-07T19:29:57.731975,"1,117606959,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202232-Bond-2032-ca135087n597
CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,"2,0",12/1/2022,11/30/2032,No,2026-02-07T19:30:01.917157,"1,120914999,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202232-Bond-2032-ca135087p329
CA135087XG49,CDA 2033            01.06,Canada,"Canada, Government of...","11,988,905,000",CAD,99.86,10/15/2001,5.750%,1000,,regular interest,,6/1/2033,6/1/2026,,"2,0",12/1/2001,5/31/2033,No,2026-02-07T19:30:08.161873,"1,1321208,1330,184",https://markets.businessinsider.com/bonds/5_750-canada-government-of-Bond-2033-ca135087xg49
CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,"2,0",12/1/2023,11/30/2033,No,2026-02-07T19:30:11.200320,"1,128007448,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202333-Bond-2033-ca135087q723
CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,"2,0",9/1/2024,2/28/2034,No,2026-02-07T19:30:13.607160,"1,133356706,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202434-Bond-2034-ca135087r713
CA135087R481,CANADA 23/34,Canada,"Canada, Government of...","34,000,000,000",CAD,99.07,12/27/2023,3.000%,1000,,regular interest,,6/1/2034,6/1/2026,,"2,0",6/1/2024,5/31/2034,No,2026-02-07T19:30:17.208723,"1,131843886,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202334-Bond-2034-ca135087r481
CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,"2,0",12/1/2024,11/30/2034,No,2026-02-07T19:30:19.672201,"1,136888775,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202434-Bond-2034-ca135087s216
CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,"2,0",6/1/2025,5/31/2035,No,2026-02-07T19:30:22.306207,"1,141608780,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202535-Bond-2035-ca135087s620
CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,"2,0",12/1/2025,11/30/2035,No,2026-02-07T19:30:24.767794,"1,146822867,1330,184",https://markets.businessinsider.com/bonds/canadacd-bonds_202535-Bond-2035-ca135087t537
