ISIN,tk_data,date,close,open,high,low,volume
CA135087R226,"1,130654501,1330,184",2026-01-05 06:44,100.14,0.0,0.0,0.0,0
CA135087R226,"1,130654501,1330,184",2026-01-05 07:44,100.14,100.14,100.14,100.14,0
CA135087R226,"1,130654501,1330,184",2026-01-05 08:44,100.14,100.14,100.14,100.14,0
CA135087R226,"1,130654501,1330,184",2026-01-05 10:44,100.14,100.14,100.14,100.14,0
CA135087R226,"1,130654501,1330,184",2026-01-05 12:44,100.14,100.14,100.14,100.14,0
CA135087R226,"1,130654501,1330,184",2026-01-05 14:44,100.14,100.14,100.14,100.14,0
CA135087R226,"1,130654501,1330,184",2026-01-05 16:44,100.14,100.14,100.14,100.14,0
CA135087R226,"1,130654501,1330,184",2026-01-05 18:44,100.14,100.14,100.14,100.14,0
CA135087R226,"1,130654501,1330,184",2026-01-05 20:44,100.14,100.14,100.14,100.14,0
CA135087R226,"1,130654501,1330,184",2026-01-05 22:44,100.14,100.14,100.14,100.14,0
CA135087R226,"1,130654501,1330,184",2026-01-06 07:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-06 08:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-06 10:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-06 12:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-06 14:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-06 16:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-06 18:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-06 20:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-06 22:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-07 07:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-07 08:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-07 10:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-07 12:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-07 14:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-07 16:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-07 18:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-07 20:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-07 22:44,100.13,100.13,100.13,100.13,0
CA135087R226,"1,130654501,1330,184",2026-01-08 07:44,100.12,100.12,100.12,100.12,0
CA135087R226,"1,130654501,1330,184",2026-01-08 08:44,100.12,100.12,100.12,100.12,0
CA135087R226,"1,130654501,1330,184",2026-01-08 10:44,100.12,100.12,100.12,100.12,0
CA135087R226,"1,130654501,1330,184",2026-01-08 12:44,100.12,100.12,100.12,100.12,0
CA135087R226,"1,130654501,1330,184",2026-01-08 14:44,100.12,100.12,100.12,100.12,0
CA135087R226,"1,130654501,1330,184",2026-01-08 16:44,100.12,100.12,100.12,100.12,0
CA135087R226,"1,130654501,1330,184",2026-01-08 18:44,100.12,100.12,100.12,100.12,0
CA135087R226,"1,130654501,1330,184",2026-01-08 20:44,100.12,100.12,100.12,100.12,0
CA135087R226,"1,130654501,1330,184",2026-01-08 22:44,100.12,100.12,100.12,100.12,0
CA135087R226,"1,130654501,1330,184",2026-01-09 07:44,100.11,100.11,100.11,100.11,0
CA135087R226,"1,130654501,1330,184",2026-01-09 08:44,100.11,100.11,100.11,100.11,0
CA135087R226,"1,130654501,1330,184",2026-01-09 10:44,100.11,100.11,100.11,100.11,0
CA135087R226,"1,130654501,1330,184",2026-01-09 12:44,100.11,100.11,100.11,100.11,0
CA135087R226,"1,130654501,1330,184",2026-01-09 14:44,100.11,100.11,100.11,100.11,0
CA135087R226,"1,130654501,1330,184",2026-01-09 16:44,100.11,100.11,100.11,100.11,0
CA135087R226,"1,130654501,1330,184",2026-01-09 18:44,100.11,100.11,100.11,100.11,0
CA135087R226,"1,130654501,1330,184",2026-01-09 20:44,100.11,100.11,100.11,100.11,0
CA135087R226,"1,130654501,1330,184",2026-01-09 22:44,100.11,100.11,100.11,100.11,0
CA135087R226,"1,130654501,1330,184",2026-01-12 07:44,100.1,100.1,100.1,100.1,0
CA135087R226,"1,130654501,1330,184",2026-01-12 08:44,100.1,100.1,100.1,100.1,0
CA135087R226,"1,130654501,1330,184",2026-01-12 10:44,100.1,100.1,100.1,100.1,0
CA135087R226,"1,130654501,1330,184",2026-01-12 12:44,100.1,100.1,100.1,100.1,0
CA135087R226,"1,130654501,1330,184",2026-01-12 14:44,100.1,100.1,100.1,100.1,0
CA135087R226,"1,130654501,1330,184",2026-01-12 16:44,100.1,100.1,100.1,100.1,0
CA135087R226,"1,130654501,1330,184",2026-01-12 18:44,100.1,100.1,100.1,100.1,0
CA135087R226,"1,130654501,1330,184",2026-01-12 20:44,100.1,100.1,100.1,100.1,0
CA135087R226,"1,130654501,1330,184",2026-01-12 22:44,100.1,100.1,100.1,100.1,0
CA135087R226,"1,130654501,1330,184",2026-01-13 07:44,100.09,100.09,100.09,100.09,0
CA135087R226,"1,130654501,1330,184",2026-01-13 08:44,100.09,100.09,100.09,100.09,0
CA135087R226,"1,130654501,1330,184",2026-01-13 10:44,100.09,100.09,100.09,100.09,0
CA135087R226,"1,130654501,1330,184",2026-01-13 12:44,100.09,100.09,100.09,100.09,0
CA135087R226,"1,130654501,1330,184",2026-01-13 14:44,100.09,100.09,100.09,100.09,0
CA135087R226,"1,130654501,1330,184",2026-01-13 16:44,100.09,100.09,100.09,100.09,0
CA135087R226,"1,130654501,1330,184",2026-01-13 18:44,100.09,100.09,100.09,100.09,0
CA135087R226,"1,130654501,1330,184",2026-01-13 20:44,100.09,100.09,100.09,100.09,0
CA135087R226,"1,130654501,1330,184",2026-01-13 22:44,100.09,100.09,100.09,100.09,0
CA135087R226,"1,130654501,1330,184",2026-01-14 07:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-14 08:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-14 10:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-14 12:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-14 14:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-14 16:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-14 18:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-14 20:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-14 22:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-15 07:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-15 08:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-15 10:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-15 12:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-15 14:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-15 16:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-15 18:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-15 20:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-15 22:44,100.08,100.08,100.08,100.08,0
CA135087R226,"1,130654501,1330,184",2026-01-16 07:44,100.07,100.07,100.07,100.07,0
